City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
217,Berlevag,NO,70.8578,29.0864,22.68,79,87,5.3,2022-01-30 04:27:21
218,Arraial Do Cabo,BR,-22.9661,-42.0278,73.44,95,100,10.16,2022-01-30 04:27:21
219,Puksoozero,RU,62.5903,40.6066,4.93,97,100,6.15,2022-01-30 04:27:21
220,Namibe,AO,-15.1961,12.1522,70.18,76,100,3.56,2022-01-30 04:26:30
221,Thinadhoo,MV,0.5333,72.9333,81.66,71,69,5.35,2022-01-30 04:27:21
222,Nakusp,CA,50.2499,-117.8023,27.48,86,100,2.3,2022-01-30 04:27:22
223,Cochrane,CA,51.1834,-114.4687,42.04,33,100,21.85,2022-01-30 04:26:31
224,Cabo San Lucas,MX,22.8909,-109.9124,67.6,63,5,6.93,2022-01-30 04:26:03
225,Souillac,MU,-20.5167,57.5167,83.35,78,40,10.36,2022-01-30 04:27:22
226,Djambala,CG,-2.5447,14.7533,67.6,90,81,3.85,2022-01-30 04:27:23
227,Aleksandrovka,UA,46.8383,32.7612,25.02,80,59,7.99,2022-01-30 04:27:23
228,Mandalgovi,MN,45.7625,106.2708,3.79,66,73,21.68,2022-01-30 04:27:23
229,Luderitz,NA,-26.6481,15.1594,66.25,82,18,4.18,2022-01-30 04:27:24
230,Seybaplaya,MX,19.65,-90.6667,66.31,64,4,13.11,2022-01-30 04:28:24
231,Castro,BR,-24.7911,-50.0119,60.22,99,100,5.23,2022-01-30 04:28:25
232,Kamenka,RU,51.3223,42.7678,30.74,97,97,7.54,2022-01-30 04:28:25
233,Anadyr,RU,64.75,177.4833,-8.9,77,75,0.0,2022-01-30 04:25:36
234,Butaritari,KI,3.0707,172.7902,82.54,72,41,17.25,2022-01-30 04:28:25
235,Mount Gambier,AU,-37.8333,140.7667,76.91,61,100,8.05,2022-01-30 04:28:26
236,Oranjemund,NA,-28.55,16.4333,64.2,90,42,6.58,2022-01-30 04:28:26
237,Carbonia,IT,39.1672,8.5222,45.0,88,6,5.03,2022-01-30 04:28:26
238,Maniitsoq,GL,65.4167,-52.9,10.17,82,100,28.59,2022-01-30 04:28:27
239,Mattru,SL,7.6244,-11.8332,72.03,92,86,1.45,2022-01-30 04:28:27
240,Okhtyrka,UA,50.3104,34.8988,20.53,94,100,13.0,2022-01-30 04:28:28
241,Trybukhivtsi,UA,49.0436,25.4581,36.25,73,100,19.26,2022-01-30 04:28:28
242,Saskylakh,RU,71.9167,114.0833,-19.17,100,99,3.53,2022-01-30 04:25:20
243,Torata,PE,-17.0769,-70.8433,55.29,79,35,2.51,2022-01-30 04:28:29
244,Paamiut,GL,61.994,-49.6678,12.24,70,100,6.64,2022-01-30 04:24:11
245,Jishou,CN,28.3167,109.7167,42.08,76,66,6.35,2022-01-30 04:28:29
246,Buchanan,LR,5.8808,-10.0467,77.32,86,24,1.79,2022-01-30 04:28:30
247,Langsa,ID,4.4683,97.9683,86.81,59,99,4.68,2022-01-30 04:28:31
248,Sakaiminato,JP,35.55,133.2333,42.78,87,75,8.05,2022-01-30 04:28:31
249,Bahia Honda,CU,22.9036,-83.1592,62.87,57,97,14.56,2022-01-30 04:28:31
250,Gizo,SB,-8.103,156.8419,83.37,75,87,6.51,2022-01-30 04:28:32
251,Thompson,CA,55.7435,-97.8558,-12.84,77,75,0.0,2022-01-30 04:28:32
252,Naze,JP,28.3667,129.4833,58.12,77,99,17.4,2022-01-30 04:23:35
253,College,US,64.8569,-147.8028,-18.45,76,0,0.0,2022-01-30 04:28:33
254,Volot,RU,57.9278,30.7025,25.75,93,100,17.27,2022-01-30 04:28:34
255,Dzilam Gonzalez,MX,21.2833,-88.9333,65.26,62,99,7.58,2022-01-30 04:28:34
256,Tyazhinskiy,RU,56.116,88.524,4.91,92,83,3.71,2022-01-30 04:28:35
