City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Sorland,NO,67.667,12.6934,39.06,70,100,32.21,light rain
330,Alindao,CF,5.0267,21.2088,88.21,22,100,2.48,overcast clouds
331,Mezen,RU,65.8522,44.24,-0.24,97,96,8.88,overcast clouds
332,Yulara,AU,-25.2406,130.9889,89.44,14,0,9.22,clear sky
333,Chinhoyi,ZW,-17.3667,30.2,72.32,80,58,5.93,light rain
334,Westport,US,41.1415,-73.3579,27.81,83,100,3.0,overcast clouds
335,Ketchikan,US,55.3422,-131.6461,43.27,75,100,0.0,overcast clouds
336,Kurchum,KZ,48.5722,83.6542,7.52,80,3,2.57,clear sky
337,Ulaangom,MN,49.9811,92.0667,-12.91,95,97,3.69,overcast clouds
338,Marrakesh,MA,31.6315,-8.0083,51.87,58,0,3.44,clear sky
339,Pleasanton,US,37.6624,-121.8747,54.05,74,0,0.0,clear sky
340,Wapi Pathum,TH,15.8452,103.3768,89.06,38,74,8.97,broken clouds
341,Pozzallo,IT,36.7305,14.8499,53.2,78,98,12.68,overcast clouds
342,Arlit,NE,18.7369,7.3853,62.19,18,0,3.67,clear sky
343,Yabelo,ET,4.8833,38.0833,75.38,16,92,5.86,overcast clouds
344,Valera,VE,9.3178,-70.6036,67.21,84,2,4.79,clear sky
345,Hualmay,PE,-11.0964,-77.6139,69.24,86,100,7.63,overcast clouds
346,Deming,US,32.2687,-107.7586,29.25,58,0,9.22,clear sky
